I had a great day at work and met some new friends.,Normal,,
Today was just an average day  nothing special.,Normal,,
I enjoy going for morning walks to start my day fresh.,Normal,,
Cooking is my favorite way to relax in the evenings.,Normal,,
I feel guilty every time I eat something unhealthy.,Eating disorder,,
No matter how much I eat  I never feel satisfied.,Eating disorder,,
I skip meals on purpose to lose weight.,Eating disorder,,
Looking in the mirror makes me anxious about my body.,Eating disorder, Anxiety,
I count every calorie obsessively  and it stresses me out.,Eating disorder, Anxiety,
I tried quitting  but I always go back to smoking.,Addiction,,
I feel restless when I don't have access to alcohol.,Addiction, Anxiety,
Lately  my gambling habit is spiraling out of control.,Addiction,,
I cannot focus on anything except when I get my next fix.,Addiction, ADHD,
Drinking is the only thing that numbs my sadness.,Addiction, Depression,
I feel like my emotions are always all over the place.,Emotional ,,
I cry at the smallest things  and I don't know why.,Emotional , Depression,
I often get angry and regret it later.,Emotional , Bipolar Disorder,
Some days I just want to disappear from the world., Depression,Emotional, Loneliness
I dont know how to explain what I'm feeling.,Emotional , Anxiety,
I start a task but get distracted and forget about it.,ADHD,,
I can never seem to sit still  no matter what.,ADHD,,
I overthink every little thing I say to people.,Anxiety,,
My heart races before every social interaction.,Anxiety, Autism,
I always feel like something bad is going to happen.,Anxiety,depression,
Even simple decisions make me feel overwhelmed.,Anxiety, ADHD,
I can't fall asleep because my mind won't stop racing.,Anxiety, Insomnia,
I struggle to understand sarcasm or jokes.,Autism,depression,
I prefer routine and dislike sudden changes.,normal,,
Social situations leave me completely drained.,Autism, Anxiety,emotional
I have intense interests that I talk about nonstop.,Autism,emotional,
One moment I feel unstoppable  the next I crash.,Bipolar Disorder,depression,
I make impulsive decisions when I'm feeling high.,Bipolar Disorder, ADHD,
Some days I can't get out of bed  other days I don't sleep at all.,Bipolar Disorder, Depression,
I get irritated over the smallest things.,Bipolar Disorder,,
My mood swings make relationships difficult.,Bipolar Disorder, Emotional ,
I feel empty even when everything is going well.,Depression,,
Getting out of bed feels impossible some days.,Depression,,
I don't find joy in things I used to love.,Depression, Loneliness,
It's hard to care about anything anymore.,Depression,,
I feel like a burden to everyone around me.,Depression, Loneliness,
No one would notice if I disappeared.,Loneliness, Depression,
I feel like I have no real friends.,Loneliness,,
Even in a crowded room, I feel alone.,Loneliness, Anxiety
I haven't talked to anyone in days.,Loneliness, Depression,
I wish I had someone to confide in.,Loneliness,,
Loud noises take me right back to that moment.,PTSD, Anxiety,
I have nightmares that make me wake up in terror.,PTSD,,
I avoid places that remind me of what happened.,PTSD,,
My mind replays my trauma when I least expect it.,PTSD, Depression,
I feel numb and disconnected from everything.,PTSD, Depression,
I hear voices that no one else hears.,Schizophrenia,,
I see things that others tell me aren't real.,Schizophrenia,,
People are watching me  I can feel it.,Schizophrenia, Anxiety,
My thoughts are being controlled by something else.,Schizophrenia,emotional,
I struggle to separate reality from my imagination.,Schizophrenia,,
I feel like there's no point in anything anymore.,Extreme , Depression,
I sometimes think about hurting myself.,Extreme , Depression,
The world would be better off without me.,Extreme , Loneliness, Depression
I hear voices telling me to do dangerous things.,Extreme , Schizophrenia,
I have violent thoughts that scare me.,Extreme , Bipolar Disorder,
"Oh well, it could have been worse",Normal,,
I sometimes stare at my room for hours,Emotional ,,
